id;name;energy,calculated (kJ);carbohydrate, available (g);fat, total (g);protein, total (g);alcohol (g);fibre, total (g);organic acids, total (g);sugar alcohols (g);starch, total (g);sugars, total (g);fructose (g);galactose (g);glucose (g);lactose (g);maltose (g);sucrose (g);polysaccharides, non-cellulosic, water-soluble (g);fibre, water-insoluble (g);fatty acids, total (g);fatty acids, total polyunsaturated (g);fatty acids, total monounsaturated cis (g);fatty acids, total saturated (g);fatty acids, total trans (g);fatty acids, total n-3 polyunsaturated (g);fatty acids, total n-6 polyunsaturated (g);fatty acid 18:2 cis,cis n-6 (linoleic acid) (mg);fatty acid 18:3 n-3 (alpha-linolenic acid) (mg);fatty acid 20:5 n-3 (EPA) (mg);fatty acid 22:6 n-3 (DHA) (mg);cholesterol (GC) (mg);sterols, total (mg);calcium (mg);iron, total (mg);iodide (iodine) (µg);potassium (mg);magnesium (mg);sodium (mg);salt (mg);phosphorus (mg);selenium, total (µg);zinc (mg);tryptophan (mg);folate, total (µg);niacin equivalents, total (mg);niacin, preformed (nicotinic acid + nicotinamide) (mg);vitamers pyridoxine (hydrochloride) (mg);riboflavine (mg);thiamin (vitamin B1) (mg);vitamin B-12 (cobalamin) (µg);vitamin C (ascorbic acid) (mg);vitamin A  retinol activity equivalents (µg);carotenoids, total (µg);vitamin D (µg);vitamin E  alphatocopherol (mg);vitamin K, total (µg)
1100;Wheat Gruel, Milk, Wheat Flour, Sugar, Salt;359;10.1;3.1;3.9;0;0.2;0.2;0;4.6;5.5;<0.1;<0.1;<0.1;5.1;<0.1;0.3;<0.1;0.2;3.0;0.5;1.1;1.4;<0.1;0.1;0.3;345;115;0;0;7.5;9.8;129.4;0.1;23.3;169.7;13.7;170.7;434.8;103.6;3.6;0.5;55.4;4.0;0.9;0.2;0.06;0.16;0.03;0.4;0.8;17.9;11.1;1.1;0.3;1.90
1287;Wheat Gruel, Water, Wheat Flakes, Salt;85;3.6;0.1;0.7;0;0.8;0;0;3.6;<0.1;<0.1;0;<0.1;0;0;<0.1;<0.1;0.6;<0.1;<0.1;<0.1;<0.1;0;<0.1;<0.1;49;4;0;0;0;4.6;5.4;0.3;14.8;27.6;7.3;201.8;514.2;20.9;0.6;0.2;9.9;2.2;0.4;0.3;0.01;<0.01;<0.01;0;0;<0.1;13.9;0;<0.1;0.16
1104;Wheat Porridge, Low-Fat Milk, Wheat Flour, Sugar, Salt;483;14.4;4.3;4.4;0;0.4;0.2;0;9.2;5.1;<0.1;<0.1;<0.1;4.7;0.1;0.3;0.1;0.3;4.1;0.8;1.6;1.5;<0.1;0.2;0.6;618;206;0;0;7.4;18.5;120.2;0.2;22.1;166.4;14.6;159.9;407.4;103.2;4.0;0.5;59.7;4.5;1.0;0.2;0.06;0.15;0.03;0.3;0.7;21.5;11.8;1.1;0.5;3.17
1288;Wheat Porridge, Milk, Wheat Flakes, Salt;346;11.6;1.7;4.2;0;1.5;0.2;0;6.8;4.8;<0.1;0;<0.1;4.7;0;<0.1;0.1;1.0;1.6;0.1;0.4;1.1;<0.1;<0.1;0.1;114;12;0;0;6.2;8.7;120.7;0.6;24.9;198.3;24.2;163.4;416.5;126.9;3.8;0.8;62.1;7.0;1.4;0.7;0.08;0.15;0.04;0.3;0.7;11.4;34.8;1.0;0.1;0.63
1562;Wheat Porridge, Water, Wheat Flakes, Without Salt;172;7.4;0.3;1.3;0;1.6;0;0;7.3;<0.1;<0.1;0;<0.1;0;0;<0.1;0.1;1.1;0.2;0.1;<0.1;<0.1;0;<0.1;<0.1;100;8;0;0;0;9.4;6.1;0.6;3.8;55.5;14.4;1.5;3.8;41.7;1.2;0.4;20.2;4.4;0.8;0.6;0.03;<0.01;0.02;0;0;<0.1;28.3;0;0.1;0.33
29815;Wheat Rusk, Industrial;1587;65.5;7.3;10.3;0;3.5;0;0;62.4;3.1;<0.1;0;<0.1;0;0.8;2.2;0.8;2.7;6.6;0.8;1.4;3.7;0.6;<0.1;0.8;750;60;0;0;0.2;63.5;20.6;1.0;8.7;163.0;32.0;429.8;1095.1;121.0;8.6;0.9;117.0;32.4;2.9;1.2;0.11;0.08;0.08;0;0;0.3;14.9;0;0.7;4.60
29768;Wheat Rusk, Milk, Industrial;1571;64.7;7.3;10.3;0;3.5;<0.1;0;61.5;3.2;<0.1;0;<0.1;0.1;0.8;2.2;0.8;2.7;6.6;0.8;1.4;3.7;0.6;<0.1;0.7;741;59;0;0;0.3;62.7;23.0;1.0;33.9;165.3;30.8;425.2;1083.4;122.1;8.6;0.9;116.8;32.0;2.9;1.2;0.11;0.09;0.08;<0.1;<0.1;0.6;14.9;<0.1;0.7;4.55
30186;Wheat Tortilla;1265;45.8;9.4;7.2;0;2.2;<0.1;0;45.0;0.8;<0.1;<0.1;<0.1;<0.1;0.6;0.1;0.6;1.6;8.8;2.7;4.1;1.7;<0.1;0.7;2.1;2064;657;0;0;3.8;70.1;81.0;0.6;6.4;97.1;18.1;92.4;235.3;122.8;6.2;0.5;80.1;7.8;1.6;0.6;0.06;0.03;0.03;<0.1;<0.1;33.1;11.6;0.4;1.7;9.44
1035;Wheat Tortilla, Burrito, Wrap, Chicken Filling;734;17.1;6.8;10.5;0;1.3;0.2;0;15.3;1.8;0.4;0;0.3;0.5;0.2;0.4;0.3;0.9;6.3;1.1;2.4;2.8;<0.1;0.2;0.8;776;219;9;8;24.8;23.3;59.5;0.6;17.6;215.7;19.1;189.1;481.9;103.5;6.8;0.8;122.2;21.8;4.9;2.9;0.21;0.12;0.09;0.4;4.2;42.9;686.0;0.2;0.8;26.62
1033;Wheat Tortilla, Burrito, Wrap, Pork Beef Mince Filling;813;20.3;8.7;7.5;0;1.8;0.2;0;17.2;3.1;1.0;0;0.8;0;0.2;0.4;0.4;0.8;8.1;1.3;3.9;2.9;<0.1;0.3;1.0;979;251;<1;0;14.7;28.0;16.9;0.7;9.7;235.9;16.7;327.3;834.1;79.8;7.5;1.2;92.2;12.2;3.4;1.8;0.17;0.07;0.11;0.2;7.0;16.1;3821.6;<0.1;0.9;5.84
33066;Wheat Tortilla, Burrito, Wrap, Tuna Filling;750;16.8;7.7;9.9;0;1.1;0.3;0;15.2;1.6;0.3;0.2;0.5;0.4;0.2;<0.1;0.3;0.7;7.2;1.4;2.5;3.1;<0.1;0.3;1.1;1077;290;3;26;20.3;27.5;61.4;0.8;9.2;191.9;18.3;191.1;487.0;124.2;11.6;0.8;137.5;19.7;5.0;2.8;0.16;0.11;0.03;0.9;20.4;57.6;643.3;0.4;1.1;9.06
1031;Wheat Tortilla, Burrito, Wrap, Vegetable Filling;590;16.5;5.0;5.8;0;2.7;0.2;0;14.5;1.9;0.7;<0.1;0.6;0.2;0.1;0.2;1.0;1.8;4.6;0.9;1.7;1.9;<0.1;0.3;0.6;645;257;0;0;6.1;34.0;100.7;0.8;4.6;216.7;23.2;45.4;115.7;108.0;3.4;0.7;73.8;56.2;1.8;0.6;0.14;0.08;0.06;0.1;17.7;67.7;1531.8;0.1;0.9;24.14
